epoch,enable_rewire,tau,keep_rate,lambda2_norm_est,dirichlet_mean,lambda2_cvar,budget_violation,spectral_violation,dual_budget,dual_spectral,loss,train_acc,val_acc,test_acc
1,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.628228783607483,0.2829670310020447,0.25925925374031067,0.2149122804403305
2,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.5837465524673462,0.22252747416496277,0.24417009949684143,0.22368420660495758
3,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.5290517807006836,0.22985348105430603,0.24417009949684143,0.22587719559669495
4,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.4464658498764038,0.5009157657623291,0.42112481594085693,0.4232456088066101
5,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.376288890838623,0.6062270998954773,0.4746227562427521,0.46271929144859314
6,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.2690149545669556,0.6639193892478943,0.49794238805770874,0.4649122953414917
7,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.1619927883148193,0.6666666865348816,0.5006858706474304,0.47587719559669495
8,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0636045932769775,0.6895604133605957,0.5144032835960388,0.5087719559669495
9,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.9708467721939087,0.6959707140922546,0.5349794030189514,0.5065789222717285
10,0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.8918004035949707,0.7106227278709412,0.5404663681983948,0.5285087823867798
11,1,1.0,0.5334436297416687,nan,nan,0.20418576896190643,0.0,0.0,0.0,0.0,0.8811792731285095,0.732600748538971,0.521261990070343,0.5109649300575256
12,1,1.0,0.5227029919624329,nan,nan,0.20459944009780884,0.0,0.0,0.0,0.0,0.7786259055137634,0.761904776096344,0.5116598010063171,0.5416666865348816
13,1,1.0,0.5462100505828857,nan,nan,0.20672690868377686,0.0,0.0,0.0,0.0,0.7094992995262146,0.8113552927970886,0.5528120994567871,0.5504385828971863
14,1,1.0,0.5999911427497864,nan,nan,0.16083620488643646,0.0,0.0,0.0,0.0,0.6824464201927185,0.8003662824630737,0.5528120994567871,0.5592105388641357
15,1,1.0,0.5925328135490417,0.13819320499897003,32.54680633544922,0.1580597162246704,0.0,0.0,0.0,0.0,0.6363579034805298,0.8443223237991333,0.5610425472259521,0.5767543911933899
16,1,1.0,0.6194751262664795,nan,nan,0.22090980410575867,0.0,0.0,0.0,0.0,0.5552883744239807,0.8809523582458496,0.5788751840591431,0.5745614171028137
17,1,1.0,0.6658535599708557,nan,nan,0.18807896971702576,0.0,0.0,0.0,0.0,0.5049852728843689,0.8919413685798645,0.5816186666488647,0.5789473652839661
18,1,1.0,0.6994737982749939,nan,nan,0.15168985724449158,0.0,0.0,0.0,0.0,0.4826352596282959,0.889194130897522,0.570644736289978,0.5767543911933899
19,1,1.0,0.7198123335838318,nan,nan,0.23954375088214874,0.0,0.0,0.0,0.0,0.4517371952533722,0.8992673754692078,0.5829904079437256,0.5789473652839661
20,1,1.0,0.7429582476615906,0.15516428649425507,51.55333709716797,0.17763960361480713,0.0,0.0,0.0,0.0,0.40992313623428345,0.9093406796455383,0.562414288520813,0.5679824352264404
21,1,1.0,0.7754815220832825,nan,nan,0.20186734199523926,0.0,0.0,0.0,0.0,0.4042087495326996,0.906593382358551,0.562414288520813,0.5592105388641357
22,1,1.0,0.8240331411361694,nan,nan,0.1844106763601303,0.0,0.0,0.0,0.0,0.36587631702423096,0.9194139242172241,0.5871056318283081,0.5614035129547119
23,1,1.0,0.8685453534126282,nan,nan,0.18918734788894653,0.0,0.0,0.0,0.0,0.33800363540649414,0.9029303789138794,0.5829904079437256,0.5526315569877625
24,1,1.0,0.9023684859275818,nan,nan,0.17451211810112,0.0,0.0,0.0,0.0,0.3060860335826874,0.901098906993866,0.5788751840591431,0.5394737124443054
25,1,1.0,0.9298624992370605,0.24640658497810364,76.00791931152344,0.1729278564453125,0.0,0.0,0.0,0.0,0.32665833830833435,0.9258241653442383,0.5788751840591431,0.5855262875556946
26,1,1.0,0.947234570980072,nan,nan,0.19887471199035645,0.0,0.0,0.0,0.0,0.27166321873664856,0.9514651894569397,0.5692729949951172,0.5723684430122375
27,1,1.0,0.9551916718482971,nan,nan,0.19526147842407227,0.0,0.0,0.0,0.0,0.2519136071205139,0.9395604133605957,0.5569273233413696,0.5614035129547119
28,1,1.0,0.9612461924552917,nan,nan,0.25540149211883545,0.0,0.0,0.0,0.0,0.24763692915439606,0.946886420249939,0.5651577711105347,0.5438596606254578
29,1,1.0,0.9653081297874451,nan,nan,0.22191579639911652,0.0,0.0,0.0,0.0,0.24146080017089844,0.9652014374732971,0.5775034427642822,0.5372806787490845
30,1,1.0,0.969866156578064,0.25206059217453003,79.6624755859375,0.20827503502368927,0.0,0.0,0.0,0.0,0.23591211438179016,0.9532967209815979,0.5747599601745605,0.5460526347160339
31,1,1.0,0.9748671054840088,nan,nan,0.16258838772773743,0.0,0.0,0.0,0.0,0.24518470466136932,0.9478021860122681,0.5761317014694214,0.5548245906829834
32,1,1.0,0.9788475632667542,nan,nan,0.1385985165834427,0.0,0.0,0.0,0.0,0.2096540778875351,0.9532967209815979,0.570644736289978,0.5504385828971863
33,1,1.0,0.9820761680603027,nan,nan,0.17040689289569855,0.0,0.0,0.0,0.0,0.1868479996919632,0.9624541997909546,0.5747599601745605,0.5438596606254578
34,1,1.0,0.9850885272026062,nan,nan,0.20127785205841064,0.0,0.0,0.0,0.0,0.17292636632919312,0.976190447807312,0.5665295124053955,0.5614035129547119
35,1,1.0,0.9872418642044067,0.3263983428478241,79.8832015991211,0.16028542816638947,0.0,0.0,0.0,0.0,0.16062180697917938,0.9752747416496277,0.5733882188796997,0.5614035129547119
36,1,1.0,0.9887951612472534,nan,nan,0.17807935178279877,0.0,0.0,0.0,0.0,0.1610925793647766,0.9789377450942993,0.5679012537002563,0.5614035129547119
37,1,1.0,0.9894388318061829,nan,nan,0.17604830861091614,0.0,0.0,0.0,0.0,0.16670064628124237,0.9807692170143127,0.5761317014694214,0.5570175647735596
38,1,1.0,0.9899957776069641,nan,nan,0.16188371181488037,0.0,0.0,0.0,0.0,0.13975366950035095,0.9807692170143127,0.5761317014694214,0.5482456088066101
39,1,1.0,0.990100085735321,nan,nan,0.24117031693458557,0.0,0.0,0.0,0.0,0.13694432377815247,0.9780219793319702,0.5720164775848389,0.5482456088066101
40,1,1.0,0.990013599395752,0.1616501808166504,79.83688354492188,0.14477935433387756,0.0,0.0,0.0,0.0,0.12030921131372452,0.9798534512519836,0.5775034427642822,0.5504385828971863
41,1,1.0,0.989805281162262,nan,nan,0.20791281759738922,0.0,0.0,0.0,0.0,0.13624343276023865,0.9807692170143127,0.5747599601745605,0.5438596606254578
42,1,1.0,0.9893655776977539,nan,nan,0.22045937180519104,0.0,0.0,0.0,0.0,0.15140223503112793,0.9835164546966553,0.5775034427642822,0.5416666865348816
43,1,1.0,0.9883818030357361,nan,nan,0.21251331269741058,0.0,0.0,0.0,0.0,0.10646224766969681,0.9871794581413269,0.5788751840591431,0.5372806787490845
44,1,1.0,0.9867015480995178,nan,nan,0.1811157464981079,0.0,0.0,0.0,0.0,0.13169623911380768,0.9871794581413269,0.5747599601745605,0.5394737124443054
45,1,1.0,0.9851049780845642,0.13772615790367126,80.34727478027344,0.18358254432678223,0.0,0.0,0.0,0.0,0.1158531978726387,0.9871794581413269,0.5761317014694214,0.5548245906829834
46,1,1.0,0.9828723073005676,nan,nan,0.1736273467540741,0.0,0.0,0.0,0.0,0.10204681754112244,0.9871794581413269,0.5679012537002563,0.5614035129547119
47,1,1.0,0.980770468711853,nan,nan,0.22284828126430511,0.0,0.0,0.0,0.0,0.0985623300075531,0.9890109896659851,0.5651577711105347,0.5635964870452881
48,1,1.0,0.9780168533325195,nan,nan,0.1406133472919464,0.0,0.0,0.0,0.0,0.09682925045490265,0.9890109896659851,0.562414288520813,0.5570175647735596
49,1,1.0,0.9728939533233643,nan,nan,0.1946861743927002,0.0,0.0,0.0,0.0,0.11555293947458267,0.9871794581413269,0.5692729949951172,0.5504385828971863
50,1,1.0,0.9680083394050598,0.3259609043598175,74.36399841308594,0.22195102274417877,0.0,0.0,0.0,0.0,0.1342705935239792,0.9862637519836426,0.5651577711105347,0.530701756477356
51,1,1.0,0.9618996977806091,nan,nan,0.2303556501865387,0.0,0.0,0.0,0.0,0.1156780868768692,0.9871794581413269,0.5610425472259521,0.5197368264198303
52,1,1.0,0.9533419013023376,nan,nan,0.20341411232948303,0.0,0.0,0.0,0.0,0.11694061011075974,0.988095223903656,0.5651577711105347,0.5328947305679321
53,1,1.0,0.9429792165756226,nan,nan,0.17217124998569489,0.0,0.0,0.0,0.0,0.10011869668960571,0.9890109896659851,0.5637860298156738,0.530701756477356
54,1,1.0,0.9308356642723083,nan,nan,0.19906088709831238,0.0,0.0,0.0,0.0,0.08231399208307266,0.9908424615859985,0.5637860298156738,0.5438596606254578
55,1,1.0,0.9192124605178833,0.21874864399433136,68.01831817626953,0.2050020694732666,0.0,0.0,0.0,0.0,0.10085674375295639,0.9899267554283142,0.5651577711105347,0.5460526347160339
56,1,1.0,0.9061119556427002,nan,nan,0.19142162799835205,0.0,0.0,0.0,0.0,0.10102243721485138,0.9899267554283142,0.5610425472259521,0.5482456088066101
57,1,1.0,0.8958938717842102,nan,nan,0.22347968816757202,0.0,0.0,0.0,0.0,0.09011366963386536,0.9899267554283142,0.5596708059310913,0.5482456088066101
58,1,1.0,0.890235185623169,nan,nan,0.2288048416376114,0.0,0.0,0.0,0.0,0.08698008954524994,0.9908424615859985,0.5610425472259521,0.5548245906829834
59,1,1.0,0.8893097639083862,nan,nan,0.18665313720703125,0.0,0.0,0.0,0.0,0.09219089150428772,0.9908424615859985,0.5679012537002563,0.5548245906829834
60,1,1.0,0.8887227177619934,0.17387226223945618,61.1386833190918,0.21564868092536926,0.0,0.0,0.0,0.0,0.10580039024353027,0.9926739931106567,0.5692729949951172,0.5416666865348816
